10976万美元	厄瓜多尔
11800万美元	安哥拉
1196841万美元	中国
125982万美元	西班牙
128173万美元	澳大利亚
130095万美元	墨西哥
13268万美元	匈牙利
137556万美元	俄罗斯
150963万美元	韩国
168429万美元	加拿大
188088万美元	意大利
1895922万美元	美国
192767万美元	巴西
19752万美元	阿尔及利亚
19958万美元	伊拉克
19999万美元	新西兰
20228万美元	秘鲁
2022万美元	罗马尼亚
20532万美元	卡塔尔
20699万美元	葡萄牙
2164万美元	阿富汗
21660万美元	哈萨克斯坦
21722万美元	希腊
21981万美元	越南
22394万美元	孟加拉国
23049万美元	爱尔兰
24218万美元	芬兰
251060万美元	印度
252632万美元	法国
26141万美元	智利
298153万美元	英国
30783万美元	丹麦
31051万美元	新加坡
31051万美元	以色列
33128万美元	香港
3329万美元	巴林
33458万美元	南非
351363万美元	德国
36026万美元	哥伦比亚
36453万美元	马来西亚
39214万美元	阿拉伯联合酋长国
39279万美元	奥地利
40446万美元	伊朗
4092万美元	约旦
41230万美元	泰国
4291万美元	利比亚
43166万美元	挪威
434805万美元	日本
4355万美元	刚果
4637万美元	也门
47542万美元	比利时
5158万美元	巴拿马
51696万美元	波兰
51848万美元	尼日利亚
51848万美元	瑞典
56631万美元	台湾
57327万美元	阿根廷
5752万美元	卢森堡
6364万美元	阿塞拜疆
6882万美元	阿曼
695100万美元	瑞士
695100万美元	荷兰
70568万美元	沙特阿拉伯
7647万美元	苏丹
79082万美元	土耳其
95194万美元	印度尼西亚
AG	安提瓜和巴布达
AI	安圭拉
AL	阿尔巴尼亚
AM	亚美尼亚
AQ	南极洲
AS	美属萨摩亚
AW	阿鲁巴
AX	奥兰群岛
BA	波斯尼亚和黑塞哥维那
BB	巴巴多斯
BF	布基纳法索
BG	保加利亚
BI	布隆迪
BJ	贝宁
BL	圣巴泰勒米
BM	百慕大
BN	文莱
3669万美元	玻利维亚
BQ	荷兰加勒比区
BS	巴哈马
BT	不丹
BV	布维岛
BW	博茨瓦纳
6250万美元	白俄罗斯
BZ	伯利兹
CC	科科斯（基林）群岛
CF	中非共和国
CI	科特迪瓦
CK	库克群岛
CM	喀麦隆
CP	克利珀顿岛
5568万美元	哥斯达黎加
CU	古巴
CV	佛得角
CW	库拉索
CX	圣诞岛
CY	塞浦路斯
18671万美元	捷克共和国
DG	迪戈加西亚岛
DJ	吉布提
DM	多米尼克
DO	多米尼加共和国
EA	休达及梅利利亚
EE	爱沙尼亚
EG	埃及
EH	西撒哈拉
ER	厄立特里亚
ET	埃塞俄比亚
EU	欧盟
FJ	斐济
FK	福克兰群岛
FM	密克罗尼西亚
FO	法罗群岛
GA	加蓬
GD	格林纳达
GE	格鲁吉亚
GF	法属圭亚那
GG	根西岛
4259万美元	加纳
GI	直布罗陀
GL	格陵兰
GM	冈比亚
GN	几内亚
GP	瓜德罗普
GQ	赤道几内亚
GS	南乔治亚岛和南桑威齐群岛
6970万美元	危地马拉
