index	WEO_Subject_Code	ISO	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates_Start_After
9	PPPGDP	AFG	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	18.768	20.806	21.522	24.842	26.978	31.39	33.242	40.39	44.333	48.18	55.921	59.059	60.887	62.009	64.081	67.462	71.386	75.87	80.883	86.647	93.315	2014
53	PPPGDP	ALB	5.547	6.41	7.005	7.362	7.776	7.904	8.515	8.662	8.84	10.084	9.411	7.002	6.646	7.457	8.332	9.262	10.29	9.322	10.256	11.755	12.857	14.241	15.116	16.269	17.639	19.212	20.971	22.818	25.01	26.045	27.341	28.616	29.556	30.334	31.441	32.602	34.155	36.198	38.526	40.999	43.556	46.276	49.194	2015
97	PPPGDP	DZA	86.255	97.138	109.768	120.263	131.504	143.312	145.909	148.586	150.865	164.255	171.693	175.279	182.143	182.555	184.763	195.874	207.028	212.889	226.168	236.978	251.58	265.033	284.171	310.706	332.978	363.968	381.471	404.831	422.514	432.672	453.795	476.254	501.03	523.376	552.991	580.18	612.513	634.746	653.077	675.691	700.951	730.74	763.365	2015
141	PPPGDP	AGO	14.949	15.626	16.595	17.975	19.729	21.073	22.122	23.613	25.937	26.957	26.989	28.164	27.125	21.11	21.848	25.649	29.654	32.356	34.242	35.524	37.442	39.906	46.056	49.439	56.326	68.755	85.562	107.684	124.967	128.954	134.977	143.162	153.316	166.407	177.524	184.83	187.261	193.935	201.306	208.583	216.001	223.356	231.254	2015
185	PPPGDP	ATG	0.276	0.312	0.328	0.363	0.415	0.46	0.508	0.558	0.609	0.671	0.715	0.758	0.783	0.846	0.919	0.891	0.962	1.038	1.103	1.17	1.305	1.247	1.271	1.374	1.463	1.623	1.875	2.055	2.128	1.914	1.775	1.778	1.873	1.931	2.06	2.161	2.271	2.372	2.466	2.563	2.659	2.759	2.865	2016
229	PPPGDP	ARG	176.595	181.994	187.2	201.854	213.199	204.727	223.778	235.293	238.765	230.669	236.001	269.456	303.984	330.67	357.417	354.49	380.909	418.855	439.702	431.317	437.65	427.89	387.126	429.738	481.426	540.9	602.385	674.119	715.23	678.009	755.782	817.698	824.213	857.668	851.089	883.018	874.072	912.816	954.836	999.765	1,050.45	1,105.50	1,163.52	2016
273	PPPGDP	ARM	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4.886	4.299	4.628	5.104	5.466	5.748	6.174	6.468	7.002	7.84	9.139	10.63	12.067	14.213	16.583	19.365	21.117	18.266	18.896	20.193	22.032	23.126	24.389	25.395	25.783	27.116	28.527	30.028	31.583	33.318	35.372	2015
317	PPPGDP	AUS	154.527	175.929	186.961	193.421	212.996	231.806	242.268	260.608	281.203	305.637	321.669	328.912	345.355	367.558	393.827	413.784	439.492	466.276	493.321	522.314	551.281	577.788	610.364	640.968	685.398	729.843	772.656	828.699	867.008	888.797	920.447	964.423	1,017.78	1,056.10	1,105.11	1,143.64	1,187.32	1,251.42	1,317.79	1,386.36	1,454.46	1,525.97	1,599.58	2016
361	PPPGDP	AUT	84.466	92.261	99.855	106.708	110.861	116.975	122.127	127.349	133.073	143.621	155.405	166.105	173.448	178.51	186.689	195.667	204.016	212.085	222.018	233.508	246.866	255.902	264.133	271.437	286.447	301.992	321.702	342.223	354.335	343.462	354.364	371.835	381.508	388.151	397.649	405.797	417.226	432.424	447.85	463.414	477.96	492.909	508.447	2016
405	PPPGDP	AZE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	33.999	26.768	21.96	19.497	20.355	22.543	24.157	27.321	29.683	32.329	35.496	39.997	45.289	59.087	81.914	105.117	118.754	130.784	138.947	141.949	147.691	158.786	166.154	169.789	165.533	167.431	174.628	183.94	192.83	202.684	213.21	2016
449	PPPGDP	BHS	1.967	2.089	2.358	2.618	2.776	2.982	3.121	3.319	3.513	3.733	3.912	3.873	3.81	3.913	4.122	4.392	4.661	4.976	5.267	5.729	6.103	6.406	6.68	6.727	6.973	7.442	7.864	8.19	8.156	7.875	8.094	8.312	8.726	8.868	8.979	8.925	9.043	9.374	9.792	10.218	10.61	10.967	11.337	2015
493	PPPGDP	BHR	6.199	6.967	7.873	8.756	9.446	9.658	9.9	10.029	10.998	11.541	12.387	13.092	14.344	15.802	16.657	17.331	18.221	18.968	20.104	21.631	23.675	24.818	26.043	28.235	31.036	34.203	37.534	41.729	45.203	46.704	49.324	51.341	54.236	58.097	61.711	64.16	66.899	69.922	72.648	75.512	78.673	82.048	85.622	2015
537	PPPGDP	BGD	42.099	47.445	52.005	56.549	61.002	65.312	69.284	73.135	77.502	83.977	91.091	98.08	105.132	112.287	119.852	128.188	137.071	146.813	155.892	166.858	180.21	193.226	205.698	221.918	241.948	265.471	292.374	319.719	343.971	365.003	391.742	425.793	460.78	496.493	537.293	580.065	628.381	686.598	751.105	821.312	896.528	978.717	1,069.02	2015
